Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
0.0,0.0,0.0,0.0,29.24,26.0,1.225,281.0,2.49
0.0,1.0,0.0,0.0,41.35,11.0,0.1744,153.0,3.92
0.0,1.0,0.0,0.0,57.56,23.0,1.5923,198.0,7.58
0.0,0.0,0.0,0.0,44.84,1.0,0.0158,107.0,0.0
0.0,0.0,0.0,0.0,60.57,16.0,1.747,188.0,3.72
0.0,4.0,0.0,3.0,25.91,274.0,12.4833,1376.0,7.56
0.0,0.0,0.0,0.0,46.95,10.0,0.1565,155.0,2.58
0.0,0.0,0.0,0.0,11.64,14.0,0.354,166.0,3.61
0.0,1.0,0.0,0.0,34.9,8.0,0.1978,162.0,3.09
0.0,0.0,0.0,0.0,27.51,2.0,0.099,69.0,1.45
0.0,0.0,0.0,0.0,38.18,12.0,0.1489,150.0,4.67
0.0,1.0,0.0,0.0,23.54,18.0,0.4897,135.0,6.67
0.0,0.0,0.0,1.0,39.06,5.0,0.0494,114.0,4.39
0.0,0.0,0.0,0.0,3.54,1.0,0.0043,104.0,0.96
0.0,1.0,0.0,0.0,36.27,46.0,2.3451,465.0,6.24
0.0,0.0,0.0,0.0,3.09,1.0,0.0008,45.0,0.0
0.0,0.0,0.0,0.0,33.75,5.0,0.2677,72.0,1.39
0.0,0.0,0.0,1.0,42.62,14.0,0.7343,200.0,3.0
0.0,0.0,0.0,0.0,41.07,15.0,0.2584,172.0,4.65
0.0,0.0,0.0,0.0,53.8,3.0,0.0897,87.0,2.3
0.0,0.0,0.0,0.0,34.94,3.0,0.0332,86.0,2.33
0.0,0.0,0.0,0.0,45.66,7.0,0.2175,138.0,1.45
0.0,0.0,0.0,0.0,64.91,3.0,0.066,167.0,1.2
0.0,0.0,0.0,0.0,59.33,8.0,0.145,140.0,2.86
0.0,0.0,0.0,0.0,45.68,2.0,0.0576,102.0,0.98
0.0,1.0,0.0,0.0,42.31,9.0,0.11,116.0,4.31
0.0,0.0,0.0,0.0,70.81,1.0,0.0509,48.0,0.0
0.0,0.0,1.0,0.0,23.21,7.0,0.1295,175.0,3.43
0.0,0.0,0.0,0.0,10.94,1.0,0.0146,51.0,1.96
0.0,0.0,0.0,0.0,33.57,4.0,0.1406,77.0,1.3
0.0,0.0,0.0,0.0,43.87,46.0,2.7802,503.0,3.78
0.0,0.0,0.0,0.0,52.42,14.0,0.2283,140.0,7.86
0.0,0.0,0.0,0.0,49.2,2.0,0.029,107.0,0.0
0.0,0.0,0.0,0.0,7.92,1.0,0.0052,54.0,0.0
0.0,0.0,0.0,0.0,56.5,4.0,0.0986,178.0,1.12
0.0,0.0,0.0,2.0,33.85,76.0,5.1304,734.0,6.4
0.0,0.0,0.0,0.0,19.29,6.0,0.0408,96.0,4.17
0.0,0.0,0.0,0.0,26.35,17.0,0.642,175.0,4.0
0.0,0.0,0.0,1.0,21.22,2.0,0.042,70.0,1.43
0.0,0.0,0.0,0.0,62.95,4.0,0.1532,90.0,2.22
0.0,0.0,0.0,0.0,40.6,3.0,0.0416,116.0,0.86
0.0,0.0,0.0,0.0,47.46,2.0,0.0783,64.0,1.56
0.0,0.0,0.0,0.0,21.72,1.0,0.0133,90.0,1.11
0.0,0.0,0.0,0.0,29.34,1.0,0.0074,53.0,0.0
0.0,0.0,0.0,0.0,20.35,5.0,0.1339,55.0,0.0
0.0,0.0,0.0,1.0,55.09,7.0,0.2528,145.0,1.38
0.0,0.0,0.0,0.0,26.97,3.0,0.0722,88.0,3.41
0.0,2.0,0.0,11.0,30.26,364.0,25.9795,2916.0,5.14
0.0,0.0,0.0,0.0,45.78,7.0,0.3587,121.0,4.13
0.0,0.0,0.0,0.0,34.36,27.0,1.2935,168.0,7.74
0.0,0.0,0.0,0.0,53.39,7.0,0.1173,95.0,3.16
0.0,0.0,0.0,0.0,76.62,4.0,0.0919,116.0,1.72
0.0,0.0,0.0,2.0,30.78,16.0,0.6333,165.0,4.85
0.0,0.0,0.0,0.0,98.76,1.0,0.0195,65.0,1.54
0.0,0.0,0.0,0.0,37.03,3.0,0.0494,88.0,2.27
0.0,0.0,0.0,0.0,13.58,4.0,0.1029,54.0,3.7
0.0,0.0,0.0,0.0,52.33,4.0,0.1454,74.0,0.0
0.0,0.0,0.0,0.0,30.49,12.0,0.4187,111.0,2.7
0.0,0.0,0.0,2.0,36.45,49.0,2.1729,364.0,5.49
0.0,0.0,0.0,0.0,24.91,15.0,0.5657,141.0,7.8
0.0,1.0,0.0,1.0,52.84,46.0,2.2416,558.0,5.56
0.0,0.0,0.0,0.0,57.34,2.0,0.0389,63.0,0.0
0.0,0.0,0.0,0.0,23.05,6.0,0.1875,148.0,2.7
0.0,0.0,0.0,0.0,66.46,1.0,0.0168,118.0,0.0
0.0,0.0,0.0,0.0,36.97,3.0,0.037,84.0,2.38
0.0,0.0,0.0,1.0,25.64,113.0,4.2735,334.0,9.58
0.0,0.0,0.0,1.0,47.18,19.0,1.474,350.0,3.43
0.0,0.0,0.0,2.0,19.66,60.0,2.0353,701.0,6.7
0.0,0.0,0.0,0.0,13.64,4.0,0.027,67.0,2.99
0.0,0.0,0.0,0.0,51.42,7.0,0.278,96.0,5.21
0.0,0.0,0.0,0.0,54.59,11.0,0.2202,123.0,4.88
0.0,0.0,0.0,0.0,34.43,3.0,0.0367,100.0,0.0
0.0,0.0,0.0,0.0,39.59,5.0,0.0374,84.0,2.38
0.0,0.0,0.0,0.0,34.35,6.0,0.1952,164.0,2.44
0.0,0.0,0.0,1.0,26.85,8.0,0.4207,97.0,3.09
0.0,0.0,0.0,0.0,51.38,5.0,0.0621,134.0,2.24
0.0,0.0,0.0,0.0,9.28,1.0,0.007,97.0,1.03
0.0,0.0,0.0,0.0,36.69,3.0,0.0315,137.0,0.73
0.0,0.0,0.0,0.0,9.6,4.0,0.0118,110.0,2.73
0.0,0.0,0.0,0.0,62.94,12.0,0.1909,241.0,3.73
0.0,0.0,0.0,0.0,44.56,10.0,0.255,120.0,3.33
0.0,0.0,0.0,0.0,42.99,2.0,0.0432,53.0,0.0
0.0,0.0,0.0,0.0,17.78,2.0,0.0109,110.0,1.82
0.0,1.0,0.0,0.0,100.31,8.0,0.555,206.0,2.43
0.0,0.0,0.0,0.0,71.36,6.0,0.4817,100.0,4.0
0.0,0.0,0.0,1.0,72.28,14.0,0.461,170.0,7.06
0.0,0.0,0.0,0.0,35.29,63.0,2.8783,313.0,7.35
0.0,0.0,0.0,0.0,53.88,11.0,0.5582,302.0,1.66
0.0,0.0,0.0,0.0,47.25,4.0,0.2903,102.0,2.94
0.0,1.0,0.0,-1.0,30.24,63.0,2.0272,294.0,6.8
0.0,0.0,0.0,0.0,21.14,2.0,0.0119,68.0,1.47
0.0,0.0,0.0,0.0,8.73,1.0,0.0042,169.0,0.59
0.0,0.0,0.0,0.0,16.26,12.0,0.446,105.0,6.67
0.0,0.0,0.0,0.0,63.92,4.0,0.0732,150.0,2.0
0.0,0.0,0.0,0.0,17.43,10.0,0.3761,145.0,3.45
0.0,0.0,0.0,0.0,20.48,13.0,0.5479,146.0,3.42
0.0,0.0,0.0,0.0,24.61,30.0,1.0765,169.0,6.51
0.0,1.0,0.0,0.0,56.17,35.0,2.1571,261.0,5.36
0.0,0.0,0.0,0.0,57.93,7.0,0.5925,382.0,1.31
0.0,0.0,0.0,0.0,51.43,5.0,0.1707,57.0,0.0
